"","V1"
"25064",2
"25065",5
"25066",8
"25067",10
"25068",2
"25069",2
"25070",8
"25071",8
"25072",7
"25073",2
"25074",1
"25075",6
"25076",5
"25077",10
"25078",7
"25079",4
"25080",8
"25081",8
"25082",5
"25083",9
"25084",11
"25085",3
"25086",6
"25087",4
"25088",9
"25089",2
"25090",6
"25091",6
"25092",11
"25093",11
"25094",6
"25095",3
"25096",3
"25097",3
"25098",6
"25099",3
"25100",1
"25101",3
"25102",3
"25103",9
"25104",2
"25105",2
"25106",6
"25107",11
"25108",11
"25109",10
"25110",9
"25111",11
"25112",6
"25113",3
"25114",10
"25115",11
"25116",11
"25117",3
"25118",6
"25119",3
"25120",9
"25121",5
"25122",6
"25123",3
"25124",6
"25125",6
"25126",3
"25127",6
"25128",3
"25129",2
"25130",3
"25131",10
"25132",10
"25133",3
"25134",6
"25135",3
"25136",5
"25137",7
"25138",2
"25139",10
"25140",11
"25141",10
"25142",9
"25143",6
"25144",2
"25145",3
"25146",2
"25147",7
"25148",11
"25149",8
"25150",11
"25151",8
"25152",3
"25153",11
"25154",6
"25155",3
"25156",2
"25157",10
"25158",2
"25159",2
"25160",3
"25161",6
"25162",7
"25163",2
"25164",3
"25165",11
"25166",9
"25167",7
"25168",9
"25169",4
"25170",4
"25171",7
"25172",6
"25173",11
"25174",11
"25175",3
"25176",3
"25177",4
"25178",6
"25179",3
"25180",10
"25181",4
"25182",6
"25183",11
"25184",3
"25185",11
"25186",9
"25187",3
"25188",6
"25189",3
"25190",3
"25191",3
"25192",4
"25193",9
"25194",3
"25195",6
"25196",6
"25197",4
"25198",3
"25199",9
"25200",4
"25201",9
"25202",7
"25203",7
"25204",9
"25205",10
"25206",11
"25207",10
"25208",10
"25209",6
"25210",3
"25211",11
"25212",6
"25213",10
"25214",5
"25215",9
"25216",9
"25217",6
"25218",10
"25219",10
"25220",2
"25221",4
"25222",5
"25223",11
"25224",9
"25225",7
"25226",5
"25227",10
"25228",7
"25229",5
"25230",7
"25231",10
"25232",9
"25233",6
"25234",4
"25235",4
"25236",5
"25237",7
"25238",3
"25239",7
"25240",5
"25241",11
"25242",4
"25243",7
"25244",4
"25245",4
"25246",5
"25247",4
"25248",5
"25249",5
"25250",7
"25251",3
"25252",5
"25253",4
"25254",5
"25255",10
"25256",8
"25257",5
"25258",9
"25259",4
"25260",8
"25261",7
"25262",10
"25263",5
"25264",9
"25265",5
"25266",5
"25267",5
"25268",6
"25269",5
"25270",4
"25271",8
"25272",4
"25273",5
"25274",4
"25275",9
"25276",5
"25277",4
"25278",10
"25279",8
"25280",11
"25281",5
"25282",5
"25283",4
"25284",4
"25285",5
"25286",4
"25287",3
"25288",4
"25289",9
"25290",5
"25291",4
"25292",2
"25293",6
"25294",7
"25295",11
"25296",7
"25297",6
"25298",5
"25299",7
"25300",5
"25301",6
"25302",4
"25303",3
"25304",5
"25305",10
"25306",4
"25307",5
"25308",8
"25309",5
"25310",4
"25311",1
"25312",5
"25313",5
"25314",5
"25315",5
"25316",8
"25317",5
"25318",3
"25319",5
"25320",9
"25321",9
"25322",9
"25323",10
"25324",11
"25325",10
"25326",11
"25327",5
"25328",3
"25329",5
"25330",8
"25331",4
"25332",8
"25333",10
"25334",5
"25335",6
"25336",3
"25337",8
"25338",2
"25339",6
"25340",8
"25341",11
"25342",6
"25343",11
"25344",9
"25345",4
"25346",5
"25347",1
"25348",4
"25349",2
"25350",7
"25351",3
"25352",4
"25353",3
"25354",7
"25355",3
"25356",4
"25357",5
"25358",7
"25359",10
"25360",6
"25361",1
"25362",3
"25363",9
"25364",5
"25365",4
"25366",5
"25367",5
"25368",9
"25369",1
"25370",11
"25371",10
"25372",10
"25373",7
"25374",5
"25375",11
"25376",5
"25377",7
"25378",5
"25379",1
"25380",4
"25381",4
"25382",3
"25383",5
"25384",3
"25385",4
"25386",9
"25387",11
"25388",7
"25389",9
"25390",5
"25391",5
"25392",5
"25393",5
"25394",8
"25395",9
"25396",6
"25397",4
"25398",7
"25399",5
"25400",8
"25401",4
"25402",5
"25403",9
"25404",5
"25405",10
"25406",3
"25407",5
"25408",4
"25409",5
"25410",11
"25411",9
"25412",7
"25413",4
"25414",11
"25415",4
"25416",4
"25417",5
"25418",10
"25419",9
"25420",4
"25421",5
"25422",9
"25423",6
"25424",9
"25425",8
"25426",4
"25427",6
"25428",4
"25429",9
"25430",4
"25431",1
"25432",4
"25433",5
"25434",9
"25435",7
"25436",8
"25437",5
"25438",4
"25439",4
"25440",4
"25441",4
"25442",5
"25443",9
"25444",4
"25445",4
"25446",11
"25447",11
"25448",5
"25449",9
"25450",7
"25451",10
"25452",3
"25453",4
"25454",8
"25455",5
"25456",6
"25457",1
"25458",7
"25459",5
"25460",4
"25461",5
"25462",3
"25463",9
"25464",3
"25465",4
"25466",5
"25467",4
"25468",8
"25469",7
"25470",4
"25471",3
"25472",4
"25473",9
"25474",10
"25475",5
"25476",7
"25477",7
"25478",5
"25479",4
"25480",8
"25481",10
"25482",10
"25483",5
"25484",4
"25485",4
"25486",10
"25487",5
"25488",2
"25489",5
"25490",5
"25491",4
"25492",8
"25493",5
"25494",5
"25495",3
"25496",5
"25497",7
"25498",4
"25499",5
"25500",3
"25501",4
"25502",5
"25503",5
"25504",4
"25505",4
"25506",9
"25507",9
"25508",5
"25509",7
"25510",5
"25511",7
"25512",5
"25513",5
"25514",4
"25515",7
"25516",10
"25517",2
"25518",5
"25519",4
"25520",5
"25521",5
"25522",8
"25523",7
"25524",11
"25525",7
"25526",5
"25527",11
"25528",6
"25529",7
"25530",4
"25531",4
"25532",4
"25533",7
"25534",7
"25535",3
"25536",5
"25537",9
"25538",5
"25539",1
"25540",4
"25541",5
"25542",4
"25543",9
"25544",4
"25545",6
"25546",9
"25547",8
"25548",9
"25549",5
"25550",4
"25551",9
"25552",5
"25553",5
"25554",11
"25555",11
"25556",11
"25557",8
"25558",4
"25559",3
"25560",11
"25561",10
"25562",7
"25563",5
"25564",5
"25565",7
"25566",9
"25567",5
"25568",7
"25569",2
"25570",7
"25571",6
"25572",5
"25573",7
"25574",9
"25575",4
"25576",4
"25577",4
"25578",5
"25579",5
"25580",5
"25581",11
"25582",3
"25583",4
"25584",4
"25585",9
"25586",7
"25587",4
"25588",5
"25589",4
"25590",5
"25591",8
"25592",4
"25593",4
"25594",7
"25595",7
"25596",8
"25597",9
"25598",1
"25599",8
"25600",5
"25601",4
"25602",5
"25603",1
"25604",3
"25605",8
"25606",4
"25607",10
"25608",7
"25609",2
"25610",5
"25611",3
"25612",9
"25613",5
"25614",3
"25615",8
"25616",2
"25617",5
"25618",4
"25619",5
"25620",4
"25621",4
"25622",4
"25623",4
"25624",4
"25625",5
"25626",10
"25627",8
"25628",1
"25629",1
"25630",1
"25631",1
"25632",1
"25633",1
"25634",1
"25635",1
"25636",1
"25637",1
"25638",1
"25639",1
"25640",1
"25641",1
"25642",1
"25643",1
"25644",1
"25645",1
"25646",7
"25647",1
"25648",1
"25649",1
"25650",1
"25651",1
"25652",11
"25653",1
"25654",1
"25655",1
"25656",1
"25657",1
"25658",1
"25659",1
"25660",1
"25661",1
"25662",1
"25663",1
"25664",1
"25665",1
"25666",1
"25667",1
"25668",1
"25669",1
"25670",1
"25671",1
"25672",1
"25673",1
"25674",1
"25675",1
"25676",1
"25677",1
"25678",1
"25679",1
"25680",1
"25681",1
"25682",1
"25683",1
"25684",1
"25685",1
"25686",1
"25687",1
"25688",1
"25689",1
"25690",1
"25691",1
"25692",1
"25693",1
"25694",5
"25695",10
"25696",6
"25697",2
"25698",5
"25699",5
"25700",7
"25701",10
"25702",10
"25703",2
"25704",3
"25705",2
"25706",10
"25707",10
"25708",10
"25709",7
"25710",10
"25711",10
"25712",2
"25713",10
"25714",11
"25715",3
"25716",10
"25717",2
"25718",2
"25719",6
"25720",3
"25721",6
"25722",6
"25723",2
"25724",3
"25725",2
"25726",2
"25727",8
"25728",6
"25729",2
"25730",3
"25731",10
"25732",2
"25733",6
"25734",6
"25735",6
"25736",6
"25737",6
"25738",6
"25739",9
"25740",2
"25741",6
"25742",2
"25743",1
"25744",6
"25745",2
"25746",3
"25747",2
"25748",1
"25749",11
"25750",1
"25751",1
"25752",7
"25753",1
"25754",8
"25755",2
"25756",2
"25757",1
"25758",7
"25759",1
"25760",1
"25761",1
"25762",5
"25763",5
"25764",5
"25765",1
"25766",1
"25767",1
"25768",9
"25769",1
"25770",1
"25771",1
"25772",1
"25773",2
"25774",1
"25775",1
"25776",1
"25777",1
"25778",10
"25779",1
"25780",1
"25781",1
"25782",5
"25783",4
"25784",1
"25785",2
"25786",1
"25787",1
"25788",1
"25789",1
"25790",1
"25791",1
"25792",8
"25793",1
"25794",1
"25795",1
"25796",5
"25797",1
"25798",1
"25799",1
"25800",4
"25801",1
"25802",1
"25803",1
"25804",2
"25805",1
"25806",1
"25807",2
"25808",1
"25809",1
"25810",1
"25811",1
"25812",1
"25813",5
"25814",1
"25815",2
"25816",5
"25817",1
"25818",1
"25819",1
"25820",2
"25821",11
"25822",1
"25823",1
"25824",10
"25825",6
"25826",1
"25827",5
"25828",6
"25829",1
"25830",1
"25831",5
"25832",1
"25833",1
"25834",1
"25835",1
"25836",1
"25837",1
"25838",3
"25839",1
"25840",11
"25841",9
"25842",1
"25843",1
"25844",8
"25845",1
"25846",5
"25847",1
"25848",5
"25849",1
"25850",1
"25851",1
"25852",2
"25853",1
"25854",8
"25855",1
"25856",1
"25857",1
"25858",1
"25859",10
"25860",1
"25861",1
"25862",1
"25863",1
"25864",1
"25865",1
"25866",8
"25867",1
"25868",1
"25869",2
"25870",2
"25871",2
"25872",2
"25873",5
"25874",1
"25875",1
"25876",1
"25877",8
"25878",5
"25879",2
"25880",1
"25881",1
"25882",7
"25883",3
"25884",5
"25885",4
"25886",6
"25887",3
"25888",5
"25889",1
"25890",1
"25891",1
"25892",1
"25893",1
"25894",5
"25895",8
"25896",1
"25897",8
"25898",1
"25899",1
"25900",1
"25901",1
"25902",1
"25903",5
"25904",8
"25905",1
"25906",1
"25907",1
"25908",1
"25909",1
"25910",5
"25911",1
"25912",1
"25913",5
"25914",1
"25915",1
"25916",1
"25917",1
"25918",8
"25919",1
"25920",5
"25921",1
"25922",4
"25923",1
"25924",5
"25925",1
"25926",1
"25927",5
"25928",1
"25929",1
"25930",5
"25931",5
"25932",5
"25933",1
"25934",1
"25935",1
"25936",5
"25937",1
"25938",3
"25939",1
"25940",5
"25941",5
"25942",1
"25943",8
"25944",3
"25945",8
"25946",11
"25947",8
"25948",3
"25949",9
"25950",3
"25951",11
"25952",5
"25953",9
"25954",10
"25955",2
"25956",6
"25957",4
"25958",3
"25959",3
"25960",6
"25961",4
"25962",5
"25963",8
"25964",11
"25965",10
"25966",7
"25967",4
"25968",5
"25969",7
"25970",5
"25971",3
"25972",7
"25973",4
"25974",5
"25975",1
"25976",5
"25977",9
"25978",5
"25979",7
"25980",5
"25981",4
"25982",3
"25983",1
"25984",8
"25985",4
"25986",5
"25987",5
"25988",3
"25989",1
"25990",4
"25991",5
"25992",3
"25993",6
"25994",9
"25995",5
"25996",3
"25997",5
"25998",5
"25999",1
"26000",11
"26001",6
"26002",5
"26003",5
"26004",5
"26005",3
"26006",6
"26007",9
"26008",4
"26009",5
"26010",4
"26011",4
"26012",9
"26013",11
"26014",2
"26015",8
"26016",7
"26017",9
"26018",3
"26019",9
"26020",4
"26021",3
"26022",5
"26023",3
"26024",9
"26025",3
"26026",5
"26027",3
"26028",4
"26029",4
"26030",4
"26031",4
"26032",4
"26033",5
"26034",11
"26035",2
"26036",3
"26037",4
"26038",5
"26039",6
"26040",5
"26041",4
"26042",5
"26043",6
"26044",11
"26045",4
"26046",3
"26047",3
"26048",11
"26049",4
"26050",4
"26051",11
"26052",5
"26053",3
"26054",4
"26055",4
"26056",2
"26057",8
"26058",11
"26059",4
"26060",1
"26061",8
"26062",3
"26063",3
"26064",4
"26065",11
"26066",3
"26067",4
"26068",9
"26069",11
"26070",3
"26071",5
"26072",4
"26073",3
"26074",9
"26075",4
"26076",4
"26077",8
"26078",6
"26079",9
"26080",4
"26081",9
"26082",11
"26083",3
"26084",11
"26085",2
"26086",3
"26087",3
"26088",5
"26089",8
"26090",3
"26091",11
"26092",3
"26093",6
"26094",3
"26095",11
"26096",4
"26097",4
"26098",4
"26099",4
"26100",4
"26101",2
"26102",4
"26103",7
"26104",11
"26105",4
"26106",9
"26107",9
"26108",6
"26109",8
"26110",5
"26111",3
"26112",8
"26113",4
"26114",8
"26115",8
"26116",5
"26117",5
"26118",5
"26119",4
"26120",3
"26121",5
"26122",4
"26123",5
"26124",5
"26125",7
"26126",5
"26127",5
"26128",5
"26129",5
"26130",3
"26131",5
"26132",5
"26133",3
"26134",4
"26135",4
"26136",4
"26137",11
"26138",5
"26139",4
"26140",8
"26141",8
"26142",4
"26143",4
"26144",1
"26145",5
"26146",1
"26147",4
"26148",4
"26149",5
"26150",10
"26151",8
"26152",9
"26153",5
"26154",6
"26155",3
"26156",6
"26157",5
"26158",4
"26159",4
"26160",1
"26161",4
"26162",5
"26163",5
"26164",3
"26165",5
"26166",5
"26167",9
"26168",8
"26169",4
"26170",2
"26171",5
"26172",11
"26173",5
"26174",5
"26175",5
"26176",2
"26177",5
"26178",11
"26179",4
"26180",3
"26181",5
"26182",5
"26183",5
"26184",3
"26185",5
"26186",5
"26187",3
"26188",9
"26189",11
"26190",11
"26191",4
"26192",4
"26193",8
"26194",9
"26195",9
"26196",6
"26197",9
"26198",11
"26199",11
"26200",3
"26201",4
"26202",11
"26203",3
"26204",3
"26205",11
"26206",4
"26207",5
"26208",3
"26209",4
"26210",5
"26211",4
"26212",4
"26213",6
"26214",3
"26215",5
"26216",1
"26217",4
"26218",5
"26219",5
"26220",3
"26221",7
"26222",11
"26223",11
"26224",11
"26225",5
"26226",4
"26227",5
"26228",7
"26229",5
"26230",5
"26231",1
"26232",3
"26233",7
"26234",5
"26235",5
"26236",4
"26237",5
"26238",5
"26239",4
"26240",4
"26241",7
"26242",1
"26243",11
"26244",5
"26245",7
"26246",5
"26247",10
"26248",5
"26249",5
"26250",7
"26251",3
"26252",5
"26253",11
"26254",10
"26255",9
"26256",5
"26257",10
"26258",3
"26259",11
"26260",9
"26261",9
"26262",9
"26263",6
"26264",9
"26265",4
"26266",6
"26267",5
"26268",4
"26269",5
"26270",3
"26271",11
"26272",6
"26273",4
"26274",4
"26275",5
"26276",6
"26277",11
"26278",4
"26279",4
"26280",4
"26281",11
"26282",4
"26283",11
"26284",1
"26285",3
"26286",9
"26287",9
"26288",4
"26289",9
"26290",3
"26291",11
"26292",4
"26293",9
"26294",9
"26295",4
"26296",8
"26297",3
"26298",4
"26299",11
"26300",4
"26301",4
"26302",4
"26303",5
"26304",4
"26305",5
"26306",9
"26307",4
"26308",3
"26309",5
"26310",4
"26311",2
"26312",7
"26313",6
"26314",1
"26315",3
"26316",5
"26317",9
"26318",4
"26319",4
"26320",4
"26321",4
"26322",9
"26323",4
"26324",4
"26325",4
"26326",1
"26327",1
"26328",1
"26329",1
"26330",1
"26331",1
"26332",1
"26333",1
"26334",1
"26335",1
"26336",1
"26337",1
"26338",1
"26339",1
"26340",1
"26341",1
"26342",1
"26343",1
"26344",1
"26345",1
"26346",1
"26347",1
"26348",1
"26349",1
"26350",1
"26351",1
"26352",11
"26353",8
"26354",3
"26355",3
"26356",6
"26357",2
"26358",3
"26359",3
"26360",2
"26361",2
"26362",10
"26363",2
"26364",11
"26365",11
"26366",5
"26367",3
"26368",3
"26369",2
"26370",7
"26371",10
"26372",4
"26373",6
"26374",3
"26375",3
"26376",4
"26377",5
"26378",8
"26379",5
"26380",2
"26381",2
"26382",2
"26383",1
"26384",6
"26385",9
"26386",8
"26387",2
"26388",8
"26389",3
"26390",5
"26391",6
"26392",3
"26393",8
"26394",3
"26395",3
"26396",3
"26397",2
"26398",3
"26399",3
"26400",2
"26401",3
"26402",3
"26403",3
"26404",10
"26405",10
"26406",8
"26407",2
"26408",1
"26409",5
"26410",7
"26411",8
"26412",3
"26413",11
"26414",1
"26415",8
"26416",10
"26417",1
"26418",2
"26419",3
"26420",3
"26421",9
"26422",10
"26423",4
"26424",10
"26425",11
"26426",11
"26427",1
"26428",6
"26429",10
"26430",6
"26431",1
"26432",10
"26433",11
"26434",3
"26435",9
"26436",4
"26437",5
"26438",5
"26439",2
"26440",5
"26441",2
"26442",5
"26443",3
"26444",4
"26445",5
"26446",3
"26447",9
"26448",5
"26449",7
"26450",11
"26451",2
"26452",3
"26453",5
"26454",2
"26455",5
"26456",10
"26457",1
"26458",9
"26459",4
"26460",2
"26461",5
"26462",8
"26463",3
"26464",5
"26465",5
"26466",10
"26467",5
"26468",11
"26469",10
"26470",5
"26471",5
"26472",4
"26473",5
"26474",3
"26475",7
"26476",3
"26477",9
"26478",5
"26479",11
"26480",9
"26481",2
"26482",10
"26483",5
"26484",11
"26485",2
"26486",5
"26487",8
"26488",6
"26489",7
"26490",9
"26491",5
"26492",5
"26493",5
"26494",10
"26495",8
"26496",5
"26497",5
"26498",7
"26499",11
"26500",4
"26501",11
"26502",9
"26503",7
"26504",10
"26505",5
"26506",2
"26507",3
"26508",10
"26509",5
"26510",2
"26511",2
"26512",4
"26513",5
"26514",7
"26515",4
"26516",5
"26517",11
"26518",2
"26519",7
"26520",11
"26521",5
"26522",8
"26523",11
"26524",7
"26525",4
"26526",2
"26527",10
"26528",9
"26529",6
"26530",2
"26531",9
"26532",5
"26533",2
"26534",5
"26535",4
"26536",5
"26537",5
"26538",2
"26539",5
"26540",5
"26541",4
"26542",7
"26543",5
"26544",2
"26545",10
"26546",4
"26547",5
"26548",3
"26549",11
"26550",11
"26551",4
"26552",5
"26553",5
"26554",10
"26555",5
"26556",5
"26557",5
"26558",10
"26559",3
"26560",9
"26561",2
"26562",7
"26563",5
"26564",4
"26565",5
"26566",5
"26567",5
"26568",1
"26569",5
"26570",4
"26571",1
"26572",2
"26573",1
"26574",10
"26575",5
"26576",7
"26577",7
"26578",7
"26579",5
"26580",5
"26581",11
"26582",5
"26583",5
"26584",2
"26585",5
"26586",9
"26587",10
"26588",9
"26589",10
"26590",6
"26591",5
"26592",4
"26593",11
"26594",5
"26595",9
"26596",2
"26597",5
"26598",10
"26599",6
"26600",5
"26601",5
"26602",10
"26603",11
"26604",5
"26605",5
"26606",1
"26607",9
"26608",1
"26609",9
"26610",1
"26611",1
"26612",2
"26613",5
"26614",8
"26615",7
"26616",10
"26617",4
"26618",5
"26619",1
"26620",1
"26621",10
"26622",10
"26623",7
"26624",8
"26625",5
"26626",8
"26627",5
"26628",9
"26629",5
"26630",2
"26631",5
"26632",2
"26633",1
"26634",2
"26635",6
"26636",1
"26637",5
"26638",1
"26639",10
"26640",10
"26641",2
"26642",2
"26643",8
"26644",5
"26645",2
"26646",10
"26647",3
"26648",5
"26649",5
"26650",9
"26651",1
"26652",10
"26653",5
"26654",2
"26655",10
"26656",10
"26657",4
"26658",10
"26659",8
"26660",6
"26661",2
"26662",5
"26663",5
"26664",1
"26665",5
"26666",2
"26667",7
"26668",7
"26669",2
"26670",5
"26671",5
"26672",2
"26673",5
"26674",7
"26675",2
"26676",2
"26677",10
"26678",7
"26679",5
"26680",1
"26681",2
"26682",9
"26683",5
"26684",1
"26685",1
"26686",10
"26687",5
"26688",1
"26689",1
"26690",10
"26691",10
"26692",5
"26693",5
"26694",4
"26695",6
"26696",5
"26697",2
"26698",2
"26699",11
"26700",5
"26701",9
"26702",7
"26703",4
"26704",1
"26705",10
"26706",5
"26707",5
"26708",4
"26709",4
"26710",8
"26711",5
"26712",1
"26713",10
"26714",5
"26715",1
"26716",7
"26717",1
"26718",5
"26719",7
"26720",10
"26721",5
"26722",1
"26723",9
"26724",1
"26725",5
"26726",3
"26727",5
"26728",11
"26729",1
"26730",10
"26731",10
"26732",3
"26733",5
"26734",5
"26735",2
"26736",10
"26737",7
"26738",9
"26739",5
"26740",10
"26741",5
"26742",2
"26743",6
"26744",4
"26745",4
"26746",1
"26747",4
"26748",8
"26749",5
"26750",5
"26751",7
"26752",5
"26753",1
"26754",10
"26755",7
"26756",5
"26757",3
"26758",10
"26759",8
"26760",6
"26761",1
"26762",10
"26763",6
"26764",1
"26765",5
"26766",9
"26767",1
"26768",3
"26769",7
"26770",1
"26771",1
"26772",5
"26773",1
"26774",7
"26775",5
"26776",8
"26777",5
"26778",7
"26779",8
"26780",8
"26781",7
"26782",9
"26783",5
"26784",10
"26785",1
"26786",5
"26787",5
"26788",5
"26789",5
"26790",10
"26791",5
"26792",2
"26793",5
"26794",2
"26795",5
"26796",5
"26797",1
"26798",9
"26799",9
"26800",5
"26801",9
"26802",5
"26803",5
"26804",5
"26805",1
"26806",11
"26807",6
"26808",2
"26809",6
"26810",5
"26811",10
"26812",10
"26813",2
"26814",10
"26815",8
"26816",9
"26817",7
"26818",5
"26819",5
"26820",2
"26821",2
"26822",8
"26823",5
"26824",1
"26825",9
"26826",2
"26827",5
"26828",5
"26829",5
"26830",5
"26831",10
"26832",2
"26833",5
"26834",1
"26835",11
"26836",9
"26837",4
"26838",10
"26839",8
"26840",6
"26841",5
"26842",7
"26843",7
"26844",10
"26845",2
"26846",10
"26847",6
"26848",10
"26849",10
"26850",8
"26851",2
"26852",10
"26853",9
"26854",2
"26855",2
"26856",6
"26857",7
"26858",2
"26859",8
"26860",11
"26861",10
"26862",9
"26863",10
"26864",7
"26865",7
"26866",9
"26867",7
"26868",3
"26869",7
"26870",6
"26871",11
"26872",1
"26873",8
"26874",1
"26875",8
"26876",8
"26877",9
"26878",9
"26879",11
"26880",1
"26881",10
"26882",8
"26883",1
"26884",9
"26885",5
"26886",1
"26887",5
"26888",4
"26889",4
"26890",4
"26891",1
"26892",8
"26893",3
"26894",8
"26895",8
"26896",8
"26897",4
"26898",11
"26899",8
"26900",7
"26901",8
"26902",8
"26903",1
"26904",11
"26905",7
"26906",11
"26907",7
"26908",2
"26909",2
"26910",2
"26911",7
"26912",2
"26913",2
"26914",2
"26915",2
"26916",2
"26917",9
"26918",10
"26919",2
"26920",7
"26921",7
"26922",2
"26923",2
"26924",2
"26925",7
"26926",9
"26927",2
"26928",2
"26929",2
"26930",2
"26931",2
"26932",5
"26933",5
"26934",10
"26935",8
"26936",1
"26937",8
"26938",9
"26939",11
"26940",7
"26941",9
"26942",3
"26943",7
"26944",9
"26945",8
"26946",1
"26947",6
"26948",10
"26949",5
"26950",10
"26951",11
"26952",5
"26953",7
"26954",11
"26955",9
"26956",3
"26957",9
"26958",11
"26959",11
"26960",5
"26961",7
"26962",8
"26963",3
"26964",5
"26965",8
"26966",9
"26967",1
"26968",6
"26969",4
"26970",4
"26971",4
"26972",1
"26973",6
"26974",9
"26975",4
"26976",9
"26977",4
"26978",4
"26979",11
"26980",3
"26981",9
"26982",6
"26983",5
"26984",9
"26985",7
"26986",11
"26987",11
"26988",7
"26989",3
"26990",6
"26991",4
"26992",2
"26993",11
"26994",6
"26995",10
"26996",11
"26997",4
"26998",6
"26999",9
"27000",8
"27001",9
"27002",4
"27003",6
"27004",4
"27005",4
"27006",6
"27007",6
"27008",7
"27009",4
"27010",9
"27011",4
"27012",7
"27013",7
"27014",3
"27015",6
"27016",11
"27017",3
"27018",4
"27019",4
"27020",6
"27021",5
"27022",7
"27023",9
"27024",6
"27025",9
"27026",6
"27027",11
"27028",6
"27029",11
"27030",3
"27031",9
"27032",6
"27033",5
"27034",4
"27035",4
"27036",7
"27037",4
"27038",3
"27039",5
"27040",9
"27041",5
"27042",11
"27043",5
"27044",8
"27045",5
"27046",4
"27047",2
"27048",11
"27049",3
"27050",9
"27051",7
"27052",9
"27053",10
"27054",7
"27055",11
"27056",9
"27057",9
"27058",6
"27059",5
"27060",6
"27061",9
"27062",6
"27063",11
"27064",6
"27065",7
"27066",7
"27067",11
"27068",5
"27069",4
"27070",3
"27071",8
"27072",11
"27073",6
"27074",5
"27075",5
"27076",11
"27077",11
"27078",5
"27079",6
"27080",3
"27081",9
"27082",5
"27083",9
"27084",3
"27085",6
"27086",9
"27087",9
"27088",9
"27089",9
"27090",3
"27091",4
"27092",5
"27093",5
"27094",9
"27095",4
"27096",11
"27097",5
"27098",4
"27099",6
"27100",4
"27101",4
"27102",8
"27103",2
"27104",5
"27105",3
"27106",6
"27107",4
"27108",3
"27109",9
"27110",7
"27111",10
"27112",4
"27113",11
"27114",9
"27115",11
"27116",4
"27117",3
"27118",6
"27119",11
"27120",6
"27121",4
"27122",9
"27123",11
"27124",5
"27125",11
"27126",4
"27127",11
"27128",4
"27129",3
"27130",3
"27131",4
"27132",10
"27133",6
"27134",4
"27135",11
"27136",4
"27137",11
"27138",11
"27139",6
"27140",6
"27141",10
"27142",4
"27143",11
"27144",11
"27145",9
"27146",3
"27147",5
"27148",6
"27149",11
"27150",5
"27151",9
"27152",5
"27153",4
"27154",2
"27155",11
"27156",4
"27157",3
"27158",11
"27159",4
"27160",6
"27161",9
"27162",10
"27163",7
"27164",7
"27165",5
"27166",4
"27167",5
"27168",7
"27169",9
"27170",6
"27171",4
"27172",9
"27173",9
"27174",9
"27175",9
"27176",4
"27177",11
"27178",7
"27179",4
"27180",9
"27181",1
"27182",9
"27183",5
"27184",11
"27185",6
"27186",3
"27187",6
"27188",3
"27189",3
"27190",7
"27191",6
"27192",4
"27193",3
"27194",9
"27195",6
"27196",11
"27197",5
"27198",3
"27199",10
"27200",9
"27201",5
"27202",9
"27203",7
"27204",4
"27205",7
"27206",4
"27207",4
"27208",11
"27209",8
"27210",9
"27211",4
"27212",6
"27213",6
"27214",6
"27215",4
"27216",9
"27217",11
"27218",3
"27219",4
"27220",7
"27221",4
"27222",5
"27223",4
"27224",11
"27225",8
"27226",11
"27227",9
"27228",2
"27229",3
"27230",6
"27231",11
"27232",4
"27233",6
"27234",5
"27235",3
"27236",6
"27237",5
"27238",11
"27239",7
"27240",6
"27241",4
"27242",7
"27243",4
"27244",6
"27245",9
"27246",2
"27247",8
"27248",8
"27249",11
"27250",6
"27251",4
"27252",9
"27253",9
"27254",4
"27255",6
"27256",7
"27257",5
"27258",7
"27259",10
"27260",4
"27261",9
"27262",3
"27263",6
"27264",4
"27265",5
"27266",9
"27267",7
"27268",11
"27269",4
"27270",3
"27271",9
"27272",4
"27273",4
"27274",6
"27275",8
"27276",8
"27277",11
"27278",9
"27279",3
"27280",7
"27281",11
"27282",4
"27283",4
"27284",10
"27285",11
"27286",8
"27287",7
"27288",6
"27289",4
"27290",3
"27291",3
"27292",6
"27293",2
"27294",3
"27295",6
"27296",5
"27297",9
"27298",3
"27299",11
"27300",7
"27301",4
"27302",4
"27303",2
"27304",7
"27305",4
"27306",8
"27307",5
"27308",6
"27309",5
"27310",9
"27311",9
"27312",10
"27313",7
"27314",8
"27315",3
"27316",4
"27317",3
"27318",10
"27319",11
"27320",6
"27321",6
"27322",11
"27323",7
"27324",7
"27325",3
"27326",4
"27327",8
"27328",4
"27329",6
"27330",11
"27331",6
"27332",2
"27333",11
"27334",4
"27335",4
"27336",11
"27337",9
"27338",3
"27339",9
"27340",4
"27341",5
"27342",4
"27343",11
"27344",4
"27345",6
"27346",9
"27347",9
"27348",9
"27349",2
"27350",9
"27351",5
"27352",3
"27353",4
"27354",4
"27355",2
"27356",11
"27357",4
"27358",4
"27359",11
"27360",6
"27361",3
"27362",4
"27363",7
"27364",4
"27365",2
"27366",6
"27367",5
"27368",6
"27369",11
"27370",4
"27371",9
"27372",3
"27373",4
"27374",4
"27375",5
"27376",6
"27377",4
"27378",11
"27379",4
"27380",9
"27381",4
"27382",7
"27383",4
"27384",3
"27385",5
"27386",4
"27387",8
"27388",6
"27389",9
"27390",4
"27391",2
"27392",6
"27393",6
"27394",9
"27395",2
